Locality,logPPgdp,Purban,logFertility
Afghanistan,6.61471,22,1.91692261
Albania,10.36304,43,0.82417544
Algeria,10.8009,58,1.02961942
Angola,9.529431,35,1.97408103
Argentina,12.806348,88,0.89199804
Armenia,9.424166,67,0.13976194
Australia,14.197524,91,0.53062825
Austria,14.505563,67,0.24686008
Azerbaijan,9.440869,52,0.74193734
Bahamas,13.858758,89,0.82855182
Bahrain,13.552189,93,0.97832612
Bangladesh,8.430453,26,1.24126859
Barbados,13.176017,51,0.40546511
Belarus,10.249113,70,0.18232156
Belgium,14.448052,97,0.5068176
Belize,11.608717,48,1.14740245
Benin,8.495855,43,1.73342389
Bermuda,15.444077,100,0.51282363
Bhutan,7.912889,7,1.61342993
Bolivia,9.868823,63,1.34025042
Bosnia-Herzegovina,10.125413,43,0.26236426
Botswana,11.48784,49,1.30833282
Brazil,11.495855,82,0.79299252
Brunei,13.602119,73,0.90825856
Bulgaria,10.663558,67,0.09531018
Burkina.Faso,7.665336,17,1.89911799
Burundi,6.741467,9,1.91692261
Cambodia,7.864186,18,1.5623463
Cameroon,9.121534,50,1.52822786
Canada,14.450245,79,0.39204209
Cape.Verde,10.298063,64,1.19392247
Central.African.Rep,7.918863,42,1.59330853
Chad,6.988685,24,1.89461685
Chile,11.962896,86,0.85441533
China,9.84235,37,0.60431597
Hong.Kong,14.520312,100,0
Macao,13.801809,99,0.09531018
Colombia,10.891784,75,0.96317432
Comoros,8.118941,34,1.58923521
Congo,9.60548,66,1.83896107
Cook.Islands,12.099348,59,1.25276297
Costa.Rica,12.0182,60,0.82417544
Cote.dIvoire,9.31515,44,1.5539252
Croatia,12.154185,58,0.50077529
Cuba,11.31345,76,0.43825493
Cyprus,13.482934,70,0.64185389
Czech.Rep,12.425478,75,0.14842001
Dem.Rep.Congo,7.108524,31,1.90210753
Denmark,14.885363,85,0.57097955
Djibouti,9.67772,84,1.74046617
Dominican.Rep,11.287712,66,0.99694863
Ecuador,10.476746,63,1.01523068
Egypt,10.440869,43,1.19088756
El.Salvador,11.096056,62,1.05779029
Equatorial.Guinea,11.94398,49,1.773256
Eritrea,7.467606,19,1.69193913
Estonia,11.969387,69,0.19885086
Ethiopia,6.491853,16,1.81482474
Fiji,10.99859,50,1.05779029
Finland,14.517669,59,0.54812141
France,14.42456,76,0.63657683
Fr.Guiana,12.917559,75,1.2029723
