Order,PredictedSalesPrice_FirstLast
1948,146714.6419
2755,69858.00837
1220,98862.21788
1433,111935.4149
2237,218919.8869
2017,109528.0085
2138,121118.1169
1667,121118.1169
2707,121118.1169
1471,86771.47823
2761,93928.07018
1054,85786.43541
2798,121217.6283
1497,93000.04268
2372,90757.13505
2483,121118.1169
2882,182691.1663
55,86771.47823
1976,74688.30944
985,93000.04237
1423,111935.4149
418,77918.9296
1605,105216.7383
2564,145069.3362
2407,76365.2725
1943,103317.7209
1838,76311.29101
2777,121118.1169
369,86209.95006
2586,121118.1169
183,111935.4149
2661,74688.30944
1836,76311.29101
819,86771.47823
1529,111935.4149
342,86771.47823
517,76365.2725
488,93928.07018
2650,67304.54572
192,117785.8653
2628,143073.5559
154,76365.2725
1059,85786.43541
23,79495.64792
1242,121118.1169
548,145069.3362
67,76355.33974
2089,107877.5597
39,116583.3813
1566,93928.07018
159,93000.04237
637,121118.1169
1114,86771.47823
2794,84364.39775
591,121118.1169
1117,84364.39775
2210,117785.8653
474,76311.29101
2660,121118.1169
1839,117785.8653
1865,117785.8653
425,86771.47823
2126,86209.95006
117,121118.1169
1462,86771.47823
628,121118.1169
1222,122892.1864
2319,99548.91221
2447,122746.047
1190,86209.95006
459,121118.1169
978,74237.92717
1549,76545.22888
1735,145069.3362
1804,69858.00837
300,76311.29101
2419,143351.4644
146,121118.1169
914,111935.4149
2796,117785.8653
1855,85786.43541
1020,86771.47823
2136,121118.1169
979,88727.016
1364,76365.2725
260,86771.47823
615,146714.6419
1755,121118.1111
1491,116224.6961
2034,121946.6939
2259,107193.8676
1759,121118.1169
786,121118.1169
1076,117785.8653
1199,86771.47823
1264,86771.47823
1828,107193.8676
96,74950.54904
2256,117785.8653
956,86771.47823
2790,121118.1169
1615,86209.95006
1858,98862.21788
869,93928.07018
743,146714.6419
1903,261065.539
2756,76365.2725
2642,74688.30944
2858,111935.4149
1276,76365.2725
778,108049.6631
212,206378.5288
1944,86771.47852
811,98862.21788
1842,67304.54572
1610,121118.1169
2916,86771.47823
2276,69858.00837
2720,108049.6631
901,86771.47823
769,86771.47823
1926,121118.1169
1486,121909.3784
452,121118.1169
2004,107877.5597
1699,69858.00837
59,93928.07018
776,102264.8079
197,121118.1169
2592,86771.47823
156,86771.47823
1749,145069.3362
2471,121909.3784
2065,86771.47823
1650,145069.3362
2181,87693.95435
774,122892.1861
885,107877.5597
1644,86771.47823
353,121118.1169
2508,76311.29101
2137,121118.1169
648,105216.7383
1408,261314.3658
2214,111497.6041
1201,121118.1169
1787,69858.00837
36,78270.83673
1129,69858.00837
1028,80936.15721
945,116224.6961
2848,121118.1169
2606,121118.1169
1968,284066.6761
782,145069.3362
1708,75766.92159
777,86771.47823
643,121118.1169
421,86771.47823
1228,121118.1169
149,145069.3362
380,114253.0841
466,93928.07018
2527,86771.47823
2506,116224.6961
361,145069.3362
2023,99548.91221
1763,93928.07018
1196,69858.00837
1853,79495.64792
937,139700.9174
547,79495.64789
764,206378.5288
134,121118.1169
341,86771.47823
771,121118.1169
2382,97785.21899
2744,121118.1169
2377,76311.29101
270,93000.04237
583,121118.1169
2589,104432.5094
2784,121118.1169
623,69858.00837
1452,121118.1169
525,121118.1169
357,93928.07018
2762,76365.2725
2328,109529.4808
2616,121118.1169
1057,85786.43541
